Country_Region,Province_State,Lockdown_date
Afghanistan,,2020-03-10
Albania,,2020-03-10
Algeria,,2020-03-10
Andorra,,2020-03-10
Angola,,2020-03-10
Antigua and Barbuda,,2020-03-10
Argentina,,2020-03-18
Armenia,,2020-03-10
Australia,Australian Capital Territory,2020-03-24
Australia,New South Wales,2020-03-24
Australia,Northern Territory,2020-03-24
Australia,Queensland,2020-03-24
Australia,South Australia,2020-03-24
Australia,Tasmania,2020-03-24
Australia,Victoria,2020-03-24
Australia,Western Australia,2020-03-24
Austria,,2020-03-10
Azerbaijan,,2020-03-10
Bahamas,,2020-03-10
Bahrain,,2020-03-10
Bangladesh,,2020-03-10
Barbados,,2020-03-10
Belarus,,2020-03-10
Belgium,,2020-03-18
Belize,,2020-03-10
Benin,,2020-03-10
Bhutan,,2020-03-10
Bolivia,,2020-03-10
Bosnia and Herzegovina,,2020-03-10
Botswana,,2020-03-10
Brazil,,2020-03-10
Brunei,,2020-03-10
Bulgaria,,2020-03-10
Burkina Faso,,2020-03-10
Burma,,2020-03-10
Burundi,,2020-03-10
Cabo Verde,,2020-03-10
Cambodia,,2020-03-10
Cameroon,,2020-03-10
Canada,Alberta,2020-03-10
Canada,British Columbia,2020-03-10
Canada,Manitoba,2020-03-10
Canada,New Brunswick,2020-03-10
Canada,Newfoundland and Labrador,2020-03-10
Canada,Northwest Territories,2020-03-10
Canada,Nova Scotia,2020-03-10
Canada,Ontario,2020-03-10
Canada,Prince Edward Island,2020-03-10
Canada,Quebec,2020-03-10
Canada,Saskatchewan,2020-03-10
Canada,Yukon,2020-03-10
Central African Republic,,2020-03-10
Chad,,2020-03-10
Chile,,2020-03-10
China,,2020-01-23
China,Anhui,2020-01-23
China,Beijing,2020-01-23
China,Chongqing,2020-01-23
China,Fujian,2020-01-23
China,Gansu,2020-01-23
China,Guangdong,2020-01-23
China,Guangxi,2020-01-23
China,Guizhou,2020-01-23
China,Hainan,2020-01-23
China,Hebei,2020-01-23
China,Heilongjiang,2020-01-23
China,Henan,2020-01-23
China,Hong Kong,2020-01-23
China,Hubei,2020-01-23
China,Hunan,2020-01-23
China,Inner Mongolia,2020-01-23
China,Jiangsu,2020-01-23
China,Jiangxi,2020-01-23
China,Jilin,2020-01-23
China,Liaoning,2020-01-23
China,Macau,2020-01-23
China,Ningxia,2020-01-23
China,Qinghai,2020-01-23
China,Shaanxi,2020-01-23
China,Shandong,2020-01-23
China,Shanghai,2020-01-23
China,Shanxi,2020-01-23
China,Sichuan,2020-01-23
China,Tianjin,2020-01-23
China,Tibet,2020-01-23
China,Xinjiang,2020-01-23
China,Yunnan,2020-01-23
China,Zhejiang,2020-01-23
Colombia,,2020-03-24
Congo (Brazzaville),,2020-03-10
Congo (Kinshasa),,2020-03-10
Costa Rica,,2020-03-10
Cote d'Ivoire,,2020-03-10
Croatia,,2020-03-10
Cuba,,2020-03-10
Cyprus,,2020-03-10
Czechia,,2020-03-10
Denmark,,2020-03-10
Denmark,Faroe Islands,2020-03-10
Denmark,Greenland,2020-03-10
Diamond Princess,,2020-03-10
Djibouti,,2020-03-10
Dominica,,2020-03-10
Dominican Republic,,2020-03-10
Ecuador,,2020-03-10
Egypt,,2020-03-10
El Salvador,,2020-03-10
Equatorial Guinea,,2020-03-10
Eritrea,,2020-03-10
Estonia,,2020-03-10
Eswatini,,2020-03-10
Ethiopia,,2020-03-10
Fiji,,2020-03-10
Finland,,2020-03-10
France,,2020-03-10
France,French Guiana,2020-03-16
France,French Polynesia,2020-03-16
France,Guadeloupe,2020-03-16
France,Martinique,2020-03-16
France,Mayotte,2020-03-16
France,New Caledonia,2020-03-16
France,Reunion,2020-03-16
France,Saint Barthelemy,2020-03-16
France,St Martin,2020-03-16
Gabon,,2020-03-10
Gambia,,2020-03-10
Georgia,,2020-03-10
Germany,,2020-03-20
Ghana,,2020-03-10
Greece,,2020-03-10
Grenada,,2020-03-10
Guatemala,,2020-03-10
Guinea,,2020-03-10
Guinea-Bissau,,2020-03-10
Guyana,,2020-03-10
Haiti,,2020-03-10
Holy See,,2020-03-10
Honduras,,2020-03-10
Hungary,,2020-03-10
Iceland,,2020-03-10
India,,2020-03-24
Indonesia,,2020-03-10
Iran,,2020-03-13
Iraq,,2020-03-22
Ireland,,2020-03-24
Israel,,2020-03-19
Italy,,2020-03-10
Jamaica,,2020-03-10
Japan,,2020-04-10
Jordan,,2020-03-21
Kazakhstan,,2020-03-10
Kenya,,2020-03-10
"Korea, South",,2020-03-10
Kosovo,,2020-03-10
Kuwait,,2020-03-10
Kyrgyzstan,,2020-03-10
Laos,,2020-03-10
Latvia,,2020-03-10
Lebanon,,2020-03-10
Liberia,,2020-03-10
Libya,,2020-03-10
Liechtenstein,,2020-03-10
Lithuania,,2020-03-10
Luxembourg,,2020-03-10
MS Zaandam,,2020-03-10
Madagascar,,2020-03-10
Malaysia,,2020-03-16
Maldives,,2020-03-10
Mali,,2020-03-10
Malta,,2020-03-10
Mauritania,,2020-03-10
Mauritius,,2020-03-10
Mexico,,2020-03-10
Moldova,,2020-03-10
Monaco,,2020-03-10
Mongolia,,2020-03-10
Montenegro,,2020-03-10
Morocco,,2020-03-10
Mozambique,,2020-03-10
Namibia,,2020-03-10
Nepal,,2020-03-10
Netherlands,,2020-03-10
Netherlands,Aruba,2020-03-10
Netherlands,Curacao,2020-03-10
Netherlands,Sint Maarten,2020-03-10
New Zealand,,2020-03-10
Nicaragua,,2020-03-10
