Country_Region,Province_State,Lockdown_date,Country_State,Stringency_Date
Afghanistan,,2020-03-27,Afghanistan ,2020-03-24
Albania,,2020-03-10,Albania ,2020-03-12
Algeria,,2020-03-12,Algeria ,2020-03-20
Andorra,,2020-03-16,Andorra ,2020-03-25
Angola,,2020-03-20,Angola ,2020-03-25
Antigua and Barbuda,,2020-03-10,Antigua and Barbuda ,
Argentina,,2020-03-20,Argentina ,2020-03-16
Armenia,,2020-03-16,Armenia ,
Australia,Australian Capital Territory,2020-03-16,Australia Australian Capital Territory,2020-03-22
Australia,New South Wales,2020-03-16,Australia New South Wales,2020-03-22
Australia,Northern Territory,2020-03-24,Australia Northern Territory,2020-03-22
Australia,Queensland,2020-04-02,Australia Queensland,2020-03-22
Australia,South Australia,2020-03-22,Australia South Australia,2020-03-22
Australia,Tasmania,2020-03-19,Australia Tasmania,2020-03-22
Australia,Victoria,2020-03-16,Australia Victoria,2020-03-22
Australia,Western Australia,2020-03-15,Australia Western Australia,2020-03-22
Austria,,2020-03-16,Austria ,2020-03-12
Azerbaijan,,2020-03-10,Azerbaijan ,
Bahamas,,2020-03-10,Bahamas ,
Bahrain,,2020-03-10,Bahrain ,2020-03-26
Bangladesh,,2020-03-10,Bangladesh ,2020-03-19
Barbados,,2020-03-10,Barbados ,2020-03-25
Belarus,,2020-03-10,Belarus ,
Belgium,,2020-03-18,Belgium ,2020-03-14
Belize,,2020-03-10,Belize ,2020-03-20
Benin,,2020-03-10,Benin ,
Bhutan,,2020-03-10,Bhutan ,
Bolivia,,2020-03-10,Bolivia ,2020-03-14
Bosnia and Herzegovina,,2020-03-10,Bosnia and Herzegovina ,2020-03-17
Botswana,,2020-03-10,Botswana ,2020-03-20
Brazil,,2020-03-24,Brazil ,2020-03-15
Brunei,,2020-03-10,Brunei ,2020-03-13
Bulgaria,,2020-03-10,Bulgaria ,2020-03-13
Burkina Faso,,2020-03-10,Burkina Faso ,2020-03-16
Burma,,2020-03-10,Burma ,
Burundi,,2020-03-10,Burundi ,
Cabo Verde,,2020-03-10,Cabo Verde ,
Cambodia,,2020-03-10,Cambodia ,
Cameroon,,2020-03-10,Cameroon ,2020-03-18
Canada,Alberta,2020-03-20,Canada Alberta,2020-03-18
Canada,British Columbia,2020-03-20,Canada British Columbia,2020-03-18
Canada,Manitoba,2020-03-20,Canada Manitoba,2020-03-18
Canada,New Brunswick,2020-03-20,Canada New Brunswick,2020-03-18
Canada,Newfoundland and Labrador,2020-03-20,Canada Newfoundland and Labrador,2020-03-18
Canada,Northwest Territories,2020-03-20,Canada Northwest Territories,2020-03-18
Canada,Nova Scotia,2020-03-20,Canada Nova Scotia,2020-03-18
Canada,Ontario,2020-03-20,Canada Ontario,2020-03-18
Canada,Prince Edward Island,2020-03-20,Canada Prince Edward Island,2020-03-18
Canada,Quebec,2020-03-20,Canada Quebec,2020-03-18
Canada,Saskatchewan,2020-03-20,Canada Saskatchewan,2020-03-18
Canada,Yukon,2020-03-20,Canada Yukon,2020-03-18
Central African Republic,,2020-03-10,Central African Republic ,
Chad,,2020-03-10,Chad ,2020-03-21
