Country_Region,Province_State,Date,Country_State,StringencyIndex
Afghanistan,,2020-03-27,Afghanistan ,71.43
Albania,,2020-03-10,Albania ,
Algeria,,2020-03-12,Algeria ,33.33
Andorra,,2020-03-16,Andorra ,0.0
Angola,,2020-03-20,Angola ,14.29
Argentina,,2020-03-20,Argentina ,95.24
Australia,Australian Capital Territory,2020-03-16,Australia Australian Capital Territory,33.33
Australia,New South Wales,2020-03-16,Australia New South Wales,33.33
Australia,Victoria,2020-03-16,Australia Victoria,33.33
Australia,Northern Territory,2020-03-24,Australia Northern Territory,66.67
Australia,Queensland,2020-04-02,Australia Queensland,71.43
Australia,South Australia,2020-03-22,Australia South Australia,57.14
Australia,Tasmania,2020-03-19,Australia Tasmania,47.62
Australia,Western Australia,2020-03-15,Australia Western Australia,28.57
Austria,,2020-03-16,Austria ,95.24
Bahrain,,2020-03-10,Bahrain ,
Bangladesh,,2020-03-10,Bangladesh ,23.81
Barbados,,2020-03-10,Barbados ,23.81
Belgium,,2020-03-18,Belgium ,85.71
Belize,,2020-03-10,Belize ,14.29
Bolivia,,2020-03-10,Bolivia ,0.0
Bosnia and Herzegovina,,2020-03-10,Bosnia and Herzegovina ,28.57
Botswana,,2020-03-10,Botswana ,19.05
Brazil,,2020-03-24,Brazil ,76.19
Brunei,,2020-03-10,Brunei ,28.57
Bulgaria,,2020-03-10,Bulgaria ,33.33
Burkina Faso,,2020-03-10,Burkina Faso ,0.0
Burundi,,2020-03-10,Burundi ,23.81
Cameroon,,2020-03-10,Cameroon ,0.0
Canada,Alberta,2020-03-10,Canada Alberta,4.76
Canada,British Columbia,2020-03-10,Canada British Columbia,4.76
Canada,Manitoba,2020-03-10,Canada Manitoba,4.76
Canada,New Brunswick,2020-03-10,Canada New Brunswick,4.76
Canada,Newfoundland and Labrador,2020-03-10,Canada Newfoundland and Labrador,4.76
Canada,Northwest Territories,2020-03-10,Canada Northwest Territories,4.76
